"Film supply and demand by language region, screening type (2D/3D), language version and genre"

"Country of origin";"Year";"Total Switzerland All films released Total of films Number of films";"Total Switzerland All films released Total of films Number of screenings";"Total Switzerland All films released Total of films Admissions";"Total Switzerland All films released Original version Number of films";"Total Switzerland All films released Original version Number of screenings";"Total Switzerland All films released Original version Admissions";"Total Switzerland All films released Dubbed version Number of films";"Total Switzerland All films released Dubbed version Number of screenings";"Total Switzerland All films released Dubbed version Admissions";"Total Switzerland All films released 2D screenings Number of films";"Total Switzerland All films released 2D screenings Number of screenings";"Total Switzerland All films released 2D screenings Admissions";"Total Switzerland All films released 3D screenings Number of films";"Total Switzerland All films released 3D screenings Number of screenings";"Total Switzerland All films released 3D screenings Admissions";"Total Switzerland All films released Animated films Number of films";"Total Switzerland All films released Animated films Number of screenings";"Total Switzerland All films released Animated films Admissions";"Total Switzerland All films released Documentaries Number of films";"Total Switzerland All films released Documentaries Number of screenings";"Total Switzerland All films released Documentaries Admissions";"Total Switzerland All films released Feature films Number of films";"Total Switzerland All films released Feature films Number of screenings";"Total Switzerland All films released Feature films Admissions"
"Country of origin - Total";"2014";1683;544597;12940965;1572;260265;5698914;379;284332;7242051;1677;445154;10172331;63;99443;2768634;94;68267;1603184;272;24038;448718;1317;452292;10889063
"Country of origin - Total";"2015";1674;557649;14407373;1575;263471;6249945;371;294178;8157428;1672;462073;11531485;51;95576;2875888;88;75624;1881816;264;24502;411721;1322;457523;12113836
"......Switzerland";"2014";263;32906;624755;259;30162;580067;19;2744;44688;263;32906;624755;0;0;0;0;0;0;169;13297;245690;94;19609;379065
"......Switzerland";"2015";261;32458;779510;261;31683;768972;14;775;10538;261;32342;774833;1;116;4677;0;0;0;156;13552;244533;105;18906;534977
"......United States";"2014";446;303461;8013261;375;73374;1887140;214;230087;6126121;443;213649;5387151;44;89812;2626110;36;53600;1352495;13;717;9716;397;249144;6651050
"......United States";"2015";454;329941;9426527;380;76743;2080666;213;253198;7345861;452;244092;6744616;38;85849;2681911;28;56732;1519408;15;1426;19672;411;271783;7887447
"- EU 28 - total";"2014";766;178523;3789176;739;135950;2847258;113;42573;941918;764;172050;3688847;12;6473;100329;38;8602;148263;86;9852;191032;642;160069;3449881
"- EU 28 - total";"2015";752;163925;3588567;732;131853;2934551;114;32072;654016;752;159812;3518646;9;4113;69921;39;17658;340511;83;9212;144309;630;137055;3103747
"......Belgium";"2014";15;3015;37586;13;375;3375;4;2640;34211;15;1601;21286;2;1414;16300;2;2310;30899;2;341;3420;11;364;3267
"......Belgium";"2015";15;2270;48769;13;2229;48504;3;41;265;15;2270;48769;0;0;0;1;15;103;2;13;155;12;2242;48511
"......Bulgaria";"2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Bulgaria";"2015";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Denmark";"2014";14;2325;43335;14;1862;38575;6;463;4760;14;2325;43335;0;0;0;1;10;52;2;95;1044;11;2220;42239
"......Denmark";"2015";15;493;5234;13;491;5136;2;2;98;15;493;5234;0;0;0;0;0;0;3;79;577;12;414;4657
"......Germany";"2014";152;39382;826411;152;34718;713919;10;4664;112492;150;37561;804845;5;1821;21566;7;915;9476;29;2387;43918;116;36080;773017
"......Germany";"2015";133;44362;1323041;131;43208;1308208;6;1154;14833;133;44231;1321403;1;131;1638;7;2693;29037;35;2439;32987;91;39230;1261017
"......Finland";"2014";9;38;492;9;32;473;1;6;19;9;38;492;0;0;0;0;0;0;2;9;202;7;29;290
"......Finland";"2015";17;1471;14276;17;414;6800;1;1057;7476;17;1471;14276;0;0;0;1;144;1400;1;4;13;15;1323;12863
"......France";"2014";313;93376;2098433;305;72077;1585038;37;21299;513395;313;90437;2041857;4;2939;56576;19;4679;96542;26;5980;128458;268;82717;1873433
"......France";"2015";299;70314;1348263;295;55214;1015281;42;15100;332982;299;66500;1280850;7;3814;67413;21;8347;149251;23;2968;50906;255;58999;1148106
"......Greece";"2014";3;26;629;3;26;629;0;0;0;3;26;629;0;0;0;0;0;0;0;0;0;3;26;629
"......Greece";"2015";4;98;1338;4;98;1338;0;0;0;4;98;1338;0;0;0;0;0;0;0;0;0;4;98;1338
"......United Kingdom";"2014";102;24870;504796;92;15760;316236;38;9110;188560;102;24571;498909;1;299;5887;2;439;8071;6;201;3858;94;24230;492867
"......United Kingdom";"2015";93;29175;567130;87;15791;289849;39;13384;277281;93;29007;566260;1;168;870;5;6247;156970;5;2647;42968;83;20281;367192
"......Ireland";"2014";4;1175;22197;4;934;19612;2;241;2585;4;1175;22197;0;0;0;1;211;2377;0;0;0;3;964;19820
"......Ireland";"2015";5;223;4236;4;36;609;3;187;3627;5;223;4236;0;0;0;1;204;3642;0;0;0;4;19;594
"......Italy";"2014";77;4275;72844;76;4269;72820;2;6;24;77;4275;72844;0;0;0;1;7;27;3;106;1154;73;4162;71663
"......Italy";"2015";84;6762;142755;81;6457;139168;8;305;3587;84;6762;142755;0;0;0;1;5;21;2;6;93;81;6751;142641
"......Luxembourg";"2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Luxembourg";"2015";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Malta";"2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Malta";"2015";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Netherlands";"2014";3;9;99;3;9;99;0;0;0;3;9;99;0;0;0;0;0;0;2;6;74;1;3;25
"......Netherlands";"2015";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"......Austria";"2014";21;1011;10247;20;1002;10217;1;9;30;21;1011;10247;0;0;0;0;0;0;13;720;8651;8;291;1596
"......Austria";"2015";17;1262;18201;17;1262;18201;0;0;0;17;1262;18201;0;0;0;0;0;0;7;452;7105;10;810;11096
"......Poland";"2014";4;1670;29710;4;1516;28294;1;154;1416;4;1670;29710;0;0;0;0;0;0;0;0;0;4;1670;29710
"......Poland";"2015";4;48;597;4;38;538;1;10;59;4;48;597;0;0;0;0;0;0;1;26;290;3;22;307
"......Portugal";"2014";2;19;612;2;19;612;0;0;0;2;19;612;0;0;0;0;0;0;0;0;0;2;19;612
"......Portugal";"2015";4;514;6517;4;514;6517;0;0;0;4;514;6517;0;0;0;0;0;0;0;0;0;4;514;6517
"......Romania";"2014";2;105;706;2;105;706;0;0;0;2;105;706;0;0;0;0;0;0;0;0;0;2;105;706
